time,density,density_orbitmean,validity_flag,altitude,latitude,longitude,local_solar_time
2020-04-08 06:27:00+00:00,1.4645139932268746e-13,1.631610612704831e-13,0.0,463563.7789948955,-87.1798867849141,112.78753686536943,13.93875204181677
2020-04-08 06:27:30+00:00,1.4552498650037108e-13,1.631788621606423e-13,0.0,463554.447815557,-87.21184698865981,152.5283218945204,16.59647271853109
2020-04-08 06:28:00+00:00,1.4421105854844018e-13,1.6321097413500051e-13,0.0,463494.1843899274,-86.14025654016591,-179.6590631747511,18.458981365351786
2020-04-08 06:28:30+00:00,1.4258416091402336e-13,1.6325693227691908e-13,0.0,463383.19410612993,-84.58470109494485,-165.80946731656232,19.390622715950627
2020-04-08 06:29:00+00:00,1.4064091760169503e-13,1.6331654112096587e-13,0.0,463221.8848166121,-82.85442752880792,-158.42496827280812,19.891257600250572
2020-04-08 06:29:30+00:00,1.385213533743654e-13,1.6338873031584651e-13,0.0,463010.8546102289,-81.05004770389456,-154.00242265567238,20.1944289172716
2020-04-08 06:30:00+00:00,1.360998446810667e-13,1.6347407713350336e-13,0.0,462750.8825704511,-79.20849985210027,-151.1077353586921,20.395743010105058
2020-04-08 06:30:30+00:00,1.3339383840864454e-13,1.635723467854076e-13,0.0,462442.9218664123,-77.34582036090426,-149.08852867587314,20.538691727027597
2020-04-08 06:31:00+00:00,1.3062650603329544e-13,1.6368294952666536e-13,0.0,462088.1072718771,-75.46994760006544,-147.6132787504839,20.645376659102794
2020-04-08 06:31:30+00:00,1.2778609960745123e-13,1.638052171831651e-13,0.0,461687.75144385174,-73.58521430736147,-146.49762603237963,20.728088443349183
2020-04-08 06:32:00+00:00,1.2492242476240817e-13,1.6393942307226556e-13,0.0,461243.3374031903,-71.69416547324764,-145.63148016148043,20.79416643730944
2020-04-08 06:32:30+00:00,1.2206587923122202e-13,1.6408501331820207e-13,0.0,460756.49963721633,-69.79838264532889,-144.94526035358086,20.84824936003132
2020-04-08 06:33:00+00:00,1.1916638629205263e-13,1.6423987326516312e-13,0.0,460229.0194240846,-67.89889286594469,-144.39291967276313,20.89340700738511
2020-04-08 06:33:30+00:00,1.1623150058901506e-13,1.6440319097188972e-13,0.0,459662.8266616706,-65.99638682371818,-143.94280895672918,20.931749323554044
2020-04-08 06:34:00+00:00,1.1325949913393223e-13,1.6457268620647424e-13,0.0,459059.9850883428,-64.0913423039161,-143.57247491606455,20.964773194540832
2020-04-08 06:34:30+00:00,1.1029150295772699e-13,1.6474575328573184e-13,0.0,458422.6991018504,-62.18409752135662,-143.26555459229922,20.993569484273948
