time,density,altitude,latitude,longitude,local_solar_time
2020-03-18 03:32:50+00:00,8.639174161947316e-14,463210.9649762856,-78.31820256158638,-77.16322887315981,22.26883172208845
2020-03-18 03:33:00+00:00,1.0081346751149778e-13,463107.3140459433,-77.69652976645912,-76.52617221936187,22.31408050513867
2020-03-18 03:33:10+00:00,8.133975214517475e-14,462998.36092788726,-77.07329998853693,-75.95349873809684,22.35503707659601
2020-03-18 03:33:20+00:00,7.758332878390627e-14,462884.15051483456,-76.44872011153288,-75.43645359054423,22.39228509236996
2020-03-18 03:33:30+00:00,8.603439963559521e-14,462764.72921629716,-75.82296062202134,-74.96778084229314,22.42630828140626
2020-03-18 03:33:40+00:00,9.576108089822604e-14,462640.1443320317,-75.19616317104368,-74.54141966160539,22.457510699222155
2020-03-18 03:33:50+00:00,8.702315071858912e-14,462510.44694214594,-74.56844630423738,-74.15227059837623,22.48623230913887
2020-03-18 03:34:00+00:00,8.962494723307682e-14,462375.68973382004,-73.93990991288518,-73.79601405111293,22.51276108456902
2020-03-18 03:34:10+00:00,9.315284363653273e-14,462235.92605848704,-73.3106386693754,-73.46896803332783,22.537342491341867
2020-03-18 03:34:20+00:00,9.247265043890351e-14,462091.21399228554,-72.68070479327024,-73.16797571319468,22.560186984890223
2020-03-18 03:34:30+00:00,9.274835555709903e-14,461941.6118639298,-72.05017019893583,-72.89031556462169,22.58147600026347
2020-03-18 03:34:40+00:00,1.0219956272523854e-13,461787.1806485541,-71.4190881993353,-72.63362954261629,22.60136674052228
2020-03-18 03:34:50+00:00,9.914466850206036e-14,461627.98301779665,-70.78750493658666,-72.39586466479979,22.61999607113382
2020-03-18 03:35:00+00:00,8.856721282249757e-14,461464.0838924004,-70.1554605092984,-72.17522542947263,22.637483692186375
2020-03-18 03:35:10+00:00,9.283187109566057e-14,461295.5500676306,-69.52298989204752,-71.97013505110613,22.653934722775027
2020-03-18 03:35:20+00:00,1.1385849712415696e-13,461122.45066693984,-68.89012369753064,-71.77920321253299,22.669441850685047
2020-03-18 03:35:30+00:00,1.1441004517284967e-13,460944.8552077273,-68.2568888356417,-71.60119944630391,22.684087107053667
2020-03-18 03:35:40+00:00,1.1068598165685917e-13,460762.8383271042,-67.62330899228,-71.43503091655649,22.697943347663873
2020-03-18 03:35:50+00:00,8.278694437026434e-14,460576.47251790017,-66.98940511903281,-71.27972375170273,22.711075497261326
